Settimana,litecoin
2023-03-19,1.83
2023-03-26,1.8
2023-04-02,0.98
2023-04-09,1.1
2023-04-16,1.18
2023-04-23,1.04
2023-04-30,0.96
2023-05-07,1.5
2023-05-14,1.83
2023-05-21,1.65
2023-05-28,1.74
2023-06-04,1.71
2023-06-11,1.68
2023-06-18,1.83
2023-06-25,2.31
2023-07-02,3.96
2023-07-09,2.92
2023-07-16,2.8
2023-07-23,2.8
2023-07-30,4.0
2023-08-06,1.59
2023-08-13,1.65
2023-08-20,1.59
2023-08-27,1.41
2023-09-03,0.84
2023-09-10,0.98
2023-09-17,0.9
2023-09-24,0.78
2023-10-01,0.86
2023-10-08,0.78
2023-10-15,0.82
2023-10-22,1.04
2023-10-29,0.86
2023-11-05,1.04
2023-11-12,1.04
2023-11-19,0.94
2023-11-26,0.86
2023-12-03,1.98
2023-12-10,1.59
2023-12-17,1.68
2023-12-24,1.8
2023-12-31,1.74
