time,Risky Asset Return,Multiplier,Cushion,Risky Allocation,Tether Allocation,Backup,CPPI,Strategy,HOLD,SPREAD
2017-09-30 00:00:00.000,0.011571912331675,1.4,265.7997920339851,372.11970884757915,643.6800831864059,0.0,1015.7997920339851,1015.7997920339851,1384.4639967716473,-368.6642047376622
2017-10-01 00:00:00.000,-0.0220007838292861,1.4,270.1059286816577,378.14830015432074,641.957628527337,0.0,1020.1059286816577,1020.1059286816577,1400.4848927686494,-380.3789640869917
2017-10-02 00:00:00.000,-0.0179358748593845,1.4,261.78636967455054,366.50091754437074,645.2854521301798,0.0,1011.7863696745505,1011.7863696745505,1369.6731273866656,-357.886757712115
2017-10-03 00:00:00.000,0.0199161776188185,1.4,255.2128550816251,357.2979971142751,647.9148579673499,0.0,1005.2128550816251,1005.2128550816251,1345.1068415755965,-339.8939864939714
2017-10-04 00:00:00.000,-0.0285937438315748,1.4,262.32886545500105,367.2604116370014,645.0684538179996,0.0,1012.328865455001,1012.328865455001,1371.8962283487042,-359.56736289370315
2017-10-05 00:00:00.000,0.0079469369121421,1.4,251.82751532517386,352.5585214552434,649.2689938699305,0.0,1001.8275153251739,1001.8275153251739,1332.6685790317977,-330.8410637066238
2017-10-06 00:00:00.000,-0.0069737256838706,1.4,254.62927565301675,356.4809859142234,648.1482897387933,0.0,1004.6292756530167,1004.6292756530167,1343.2592121541575,-338.6299365011407
2017-10-07 00:00:00.000,0.0062989805959192,1.4,252.1432750457352,353.0005850640293,649.1426899817059,0.0,1002.1432750457352,1002.1432750457352,1333.8916908862623,-331.74841584052706
2017-10-08 00:00:00.000,-0.0203750438201497,1.4,254.36681888140163,356.11354643396226,648.2532724474394,0.0,1004.3668188814016,1004.3668188814016,1342.2938487642127,-337.9270298828111
2017-10-09 00:00:00.000,-0.0454931883546088,1.4,247.1109897678607,345.95538567500495,651.1556040928558,0.0,997.1109897678607,997.1109897678607,1314.9445527761245,-317.8335630082638
2017-10-10 00:00:00.000,0.017402485214526,1.4,231.37237624505644,323.921326743079,657.4510495019774,0.0,981.3723762450564,981.3723762450564,1255.1235325608134,-273.75115631575693
2017-10-11 00:00:00.000,0.0046433201430167,1.4,237.00941234437255,331.81317728212156,655.1962350622509,0.0,987.0094123443725,987.0094123443725,1276.9658012786067,-289.95638893423416
2017-10-12 00:00:00.000,-0.0132523819785088,1.4,238.550127154165,333.970178015831,654.5799491383341,0.0,988.550127154165,988.550127154165,1282.895162305627,-294.34503515146207
2017-10-13 00:00:00.000,0.0941973807811731,1.6,234.12422678566872,374.59876285706997,609.5254639285988,0.0,984.1242267856687,984.1242267856687,1265.8937455763719,-281.76951879070316
2017-10-14 00:00:00.000,0.0528221285119903,1.4,269.4104490906725,377.1746287269415,642.235820363731,0.0,1019.4104490906725,1019.4104490906725,1385.137620756935,-365.7271716662624
2017-10-15 00:00:00.000,-0.0522669319213857,1.4,289.33361580074916,405.0670621210488,634.2665536797003,0.0,1039.3336158007492,1039.3336158007492,1458.30353816735,-418.96992236660094
2017-10-16 00:00:00.000,0.0048936805022563,1.4,268.1620032412726,375.4268045377816,642.735198703491,0.0,1018.1620032412726,1018.1620032412726,1382.0824864172414,-363.9204831759688
