Crypto,BestState,Startprob,Transmat,Means,Covariances,LogLikelihood
bitcoin,6,"[0.08334734779374059, 0.08336542311670844, 0.5813053317598229, 0.08333338186638212, 0.08519480332077965, 0.08345371214256632]","[[0.6625015166490232, 0.07950137518275577, 0.00018089711200945332, 0.24366826971243258, 0.013967057655134025, 0.00018088368864493685], [0.20667337873740915, 0.7778265908903756, 0.014260431712255531, 0.0004126224877156741, 0.00041413093304335717, 0.0004128452392009412], [0.0005920781608952293, 0.0005878856440644057, 0.0005897903311799214, 0.0005897168882410682, 0.6258653192609348, 0.3717752097146846], [0.996350394225726, 0.0007300361728986305, 0.0007299129658051601, 0.0007333139524610232, 0.0007272540745488699, 0.0007290886085602231], [0.0004684452762011236, 0.04386638963228118, 0.490770473039027, 0.00046814716209999166, 0.46395754686482854, 0.0004689980255622787], [0.001580032807556204, 0.001588501281057852, 0.965045787464948, 0.028624762076655742, 0.0015794633959580208, 0.0015814529738240645]]","[[0.0018064101289625302, -0.05637528941372832], [-0.004323777670285486, 0.04803174158628342], [5.3826095546273485e-05, -0.24226609746698233], [0.0039212408114709055, 0.14821453947023958], [0.00453419845789097, 0.20583186145802124], [-0.0011145437831313327, -0.02175563649380955]]","[[[0.0004547388087486777, 0.0002947134950627467], [0.0002947134950627466, 0.019775290674417835]], [[0.004916967142677868, -0.0006037101439019029], [-0.0006037101439019025, 0.15778912152952038]], [[0.00010492576248135826, -0.00024480762090792603], [-0.00024480762090792603, 0.2140429923886248]], [[0.0024336603278305095, 0.001260893052829313], [0.001260893052829313, 0.016745922188432395]], [[0.00102737782310766, 0.0016783033153251064], [0.0016783033153251058, 0.18147188448886073]], [[7.624821648665589e-05, -0.00028477912225946045], [-0.00028477912225946045, 0.036330994269803234]]]",4436.739570524986
dogecoin,6,"[0.5755606941906682, 0.0843902550187241, 0.08513769513138579, 0.0881764914275331, 0.08333698175270021, 0.08339788247898859]","[[0.001366313703503855, 0.0013630202692629877, 0.22437389287457848, 0.7219255504845258, 0.04961474081239211, 0.0013564818557367055], [0.9875935061402914, 0.002499458202099232, 0.0024501188665452867, 0.002475946636563997, 0.002521214160642997, 0.002459755993857302], [0.00017847534082417746, 0.0001781209867127717, 0.9709258804908963, 0.002830714047217942, 0.025709223062689683, 0.00017758607165895067], [0.000254206366134293, 0.10178469393851923, 0.000253681764914116, 0.860265204121597, 0.0002578693212903265, 0.03718434448754501], [0.002558499103510958, 0.0025477272727757903, 0.0026012600674795226, 0.0025475608840432574, 0.24106771006590272, 0.7486772426062878], [0.1193441640248109, 0.0003664432436587318, 0.0003684516538902016, 0.0003652678874539378, 0.04124408810334497, 0.8383115850868412]]","[[-0.0008156118224194319, -0.2241914084753417], [0.0016033752994260254, 0.19799435349840022], [-0.004205115377646453, -0.010587639181007986], [-0.001398948707688211, -0.008961342458372384], [0.09063015169998638, 0.8725404999667125], [0.0064274386793278186, -0.0481113644287577]]","[[[0.0005739173248819741, 0.0021706559232983987], [0.0021706559232983987, 0.054752341186636855]], [[0.002442246877579345, 0.002038673980521875], [0.0020386739805218755, 0.034024049664053854]], [[0.0012903893234784388, 0.00045537620666845645], [0.0004553762066684567, 0.20169174788666724]], [[0.0005082550995593181, 0.0006337535676252167], [0.0006337535676252167, 0.014477517934690123]], [[0.09353175965436476, 0.18061960951275352], [0.18061960951275352, 1.5937363982570392]], [[0.008782361434910436, 0.020006562930932108], [0.020006562930932108, 0.21556653483004476]]]",3218.628651952764
ethereum-classic,5,"[0.1000022765644607, 0.5994233031125982, 0.09999999999998047, 0.10054159505494549, 0.1000328252680151]","[[0.0004499379776886662, 0.32765036530746094, 0.34027461652118335, 0.33117521607627304, 0.0004498641173939601], [0.0005758289545179597, 0.5758868311917403, 0.0005680310380511402, 0.42239967457930677, 0.0005696342363839231], [0.00022904792002356427, 0.00023257755302744074, 0.7275965510256586, 0.00022869027249938908, 0.27171313322879087], [0.9972822766627252, 0.000682932358002563, 0.0006743605061190454, 0.0006799648821208029, 0.0006804655910324889], [0.5100764905606053, 0.0006747799256714788, 0.2850296083777084, 0.000674022069833214, 0.2035450990661815]]","[[0.006507142287396923, -0.22004976779362737], [0.011660531093084637, 0.23549422529924902], [-0.00032654183519406356, -0.03716056552582693], [-0.012891629495100958, -0.05793425829627669], [-0.00813634821580472, 0.22590136956417978]]","[[[0.0008232130825183153, 0.002834792800248091], [0.002834792800248091, 0.07902189176540773]], [[0.01496702060536993, 0.02305265636523996], [0.02305265636523996, 0.27300094147354476]], [[0.0006164332459120447, 0.0009464241049493106], [0.0009464241049493106, 0.019459103175397306]], [[0.0023097660518630013, 0.00425286948749896], [0.00425286948749896, 0.12962451944300007]], [[0.004478894822855984, 0.005314666175167595], [0.005314666175167595, 0.04475198823155999]]]",3425.858635371551
ethereum,6,"[0.08333333333335216, 0.08333333333335216, 0.08333333333335216, 0.5833332917195367, 0.08333333357627513, 0.08333337470413163]","[[0.520025312522919, 0.2741671519658563, 0.00019772623872494656, 0.00019730549991401223, 0.20521438449019658, 0.00019811928238920855], [0.46039805173813, 0.5137639674022058, 0.00022982172025152518, 0.025148558514285307, 0.00022999270675069065, 0.00022960791837653104], [0.0027039759325691655, 0.9864461147891054, 0.002751826086538129, 0.0027218633232880397, 0.002692164524534439, 0.0026840553439648044], [0.0026215402150686507, 0.0025967480479688024, 0.2883617304847445, 0.48380655521600885, 0.0026046538961519068, 0.22000877214005718], [0.3290639227022869, 0.2829750451377929, 0.2043643024384063, 0.0007870494169890419, 0.12718131189427576, 0.05562836841024908], [0.00042065968955810017, 0.00042110017015262435, 0.0004211319845748905, 0.033595581740804875, 0.03137588492124454, 0.933765641493665]]","[[0.0001168271790990435, -0.10684729126019896], [0.006794340233553772, 0.044162193780090786], [0.02370890291289027, -0.44113598909509394], [0.0034047397267553147, 0.2751422148613664], [-0.023819943749360056, 0.393921787343256], [0.0009259651594177636, -0.030779225335582593]]","[[[0.0005299100986873219, -0.0003309329227375683], [-0.0003309329227375683, 0.03343037587190703]], [[0.0026657302507069798, 0.0022345573317574495], [0.0022345573317574495, 0.028905766221036758]], [[0.001583491697818507, 0.003318640731344164], [0.003318640731344162, 0.06325469070174626]], [[0.015856292132477655, 0.02108255262976144], [0.02108255262976144, 1.6548935462356373]], [[0.007204005546637587, 0.002061721537153514], [0.002061721537153515, 0.04632399874248755]], [[0.0004006131702827178, 0.0010438110541317403], [0.0010438110541317405, 0.18150472494421835]]]",3790.8713757815303
litecoin,6,"[0.0833387184030256, 0.0879164784017361, 0.08333360733256628, 0.08342155538109336, 0.5786385616980186, 0.08335107878355988]","[[0.00048306319029111955, 0.00048402252379655715, 0.3325337298728637, 0.07042830001549029, 0.0004841006610388779, 0.5955867837365195], [0.0009794234026449685, 0.350893479543552, 0.0009764901049819434, 0.6451919717678484, 0.0009793741841931053, 0.0009792609967795767], [0.6635746008448118, 0.00036334463455728376, 0.3349692448486077, 0.0003645911695215035, 0.00036495581132304063, 0.0003632626911785899], [0.3031773113938168, 0.5456736565841721, 0.0012425488715126188, 0.0012385041431118664, 0.14743326730541365, 0.0012347117019730577], [0.00040679246752367055, 0.04875016432911874, 0.0004075847545461367, 0.0004070635864662198, 0.9496214450187012, 0.00040694984364404035], [0.0002120756014132723, 0.02126641324597183, 0.2416339361723461, 0.00021256265086239113, 0.0002141906100714364, 0.7364608217193349]]","[[0.007436368336858921, -0.20163824435036987], [-0.003853867558999563, 0.3032681204345394], [-0.00467067515218394, 0.17375651008606868], [-0.0015510110677486608, -0.28604177280980536], [0.0011439390422494943, -0.008920110177781704], [0.0005387671135107495, -0.02223046544076801]]","[[[0.0011381414796022748, 0.0008172332029641928], [0.0008172332029641924, 0.025445453500785947]], [[0.016132790669034006, 0.01997438634370589], [0.019974386343705883, 0.46800142352844254]], [[0.005153223033623035, 0.00499539776488506], [0.004995397764885061, 0.03759000838317055]], [[0.0013399275923700528, 0.0009361103154865849], [0.0009361103154865853, 0.07577077001754781]], [[0.000595226481137438, 0.0019364232592373636], [0.0019364232592373643, 0.14660113539011296]], [[0.0008709291016878886, 0.0015786717646134034], [0.0015786717646134034, 0.015945806876124062]]]",3840.261501345087
monero,6,"[0.08333333333333333, 0.08333333333333333, 0.08333333333333333, 0.08333333333333333, 0.08333333333333333, 0.5833333333333334]","[[0.9047565311511963, 0.0010090152925321984, 0.0009863271727957527, 0.0010652747424452491, 0.09117865591118642, 0.0010041957298440457], [0.0001584153012845688, 0.7694106510202016, 0.18572534348658262, 0.02630671121281057, 0.018240808094374696, 0.00015807088474599696], [0.0007573150911863077, 0.996216467911507, 0.000755277666481121, 0.0007568161717625258, 0.000751713766044378, 0.0007624093930187999], [0.005874655973792256, 0.005796155744725044, 0.005794608299421463, 0.005780986853533967, 0.005792282505306844, 0.9709613106232203], [0.01789914331688541, 0.00030017282284373724, 0.04376864888874668, 0.00030932162411816274, 0.9373943746472367, 0.00032833870016907144], [0.02240327361879941, 0.08778593189903808, 0.0006310047630013575, 0.0006343562714006011, 0.0006293870503897252, 0.8879160463973709]]","[[-0.0002550240426516534, 0.02083913816578862], [0.0027789579365060002, -0.04981659087612937], [-0.012923125645927071, 0.22634532012702066], [0.011409786440835281, -0.015520324760496723], [0.0005306824435553339, -0.005482426042869952], [0.0017014988725513028, 0.016573831625625556]]","[[[0.0014838455882362595, -0.007651349302857802], [-0.007651349302857802, 0.9790891205139881]], [[0.0014525492312638985, 0.0011612263214760155], [0.001161226321476016, 0.04077764617945752]], [[0.005586999019238094, 0.005029529779350329], [0.005029529779350329, 0.04437216828621001]], [[0.0005241702252455438, 0.00014067936235896773], [0.00014067936235896773, 0.012521908730151837]], [[0.0002735131494345307, 0.0003112094273653821], [0.0003112094273653821, 0.05408515180125338]], [[0.01160686124738205, 0.016480973595286108], [0.016480973595286108, 0.31409724898931307]]]",3651.700074489178
ripple,6,"[0.08333333333331468, 0.08333333333331468, 0.08333333333331468, 0.08333333333331468, 0.5833332790481954, 0.08333338761854572]","[[0.0003096321203868025, 0.757320913480105, 0.0003080518800224711, 0.24144269702307955, 0.00030935189875750296, 0.00030935359764864987], [0.794832345498032, 0.0004088649769762178, 0.0004080077414281116, 0.0004065909117703666, 0.00040670947971896415, 0.20353748139207423], [0.0006710726621590841, 0.0006716020428768823, 0.0006715080852113197, 0.8620704229039919, 0.13524365138513428, 0.0006717429206264784], [0.0003590503164977434, 0.00035867194510275633, 0.36061990680242956, 0.00035911790844148534, 0.00035943891062633113, 0.6379438141169022], [0.000641546492486232, 0.000640684294827283, 0.3141125571839164, 0.07486466725809715, 0.6090986364150865, 0.0006419083555863275], [0.56151235538841, 0.00043874002922044157, 0.0004392803893469534, 0.2636470272975983, 0.1735234332350063, 0.0004391636604179407]]","[[0.0026739631085997717, -0.04587395091529376], [-0.0004951811660199465, -0.042498443372085554], [0.005483789186843755, -0.411361002141192], [-0.014061809590491796, -0.039410908883101156], [0.021983718804393922, 0.2506848047209931], [-0.0010857732831011672, 0.2641665476927453]]","[[[0.0007552645865928882, 0.0016190708176337066], [0.0016190708176337066, 0.03852806384824327]], [[0.00034376837494614455, 0.000819516951644122], [0.0008195169516441221, 0.019009387432085217]], [[0.00044776638060552214, 0.00239334310603194], [0.0023933431060319406, 0.10400541520836168]], [[0.0014147676681179845, -0.00047477029370470347], [-0.0004747702937047032, 0.09588290337056232]], [[0.02144821304483823, 0.03976905990122672], [0.03976905990122672, 0.5174487192990269]], [[0.0034044111574114662, 0.004417311200088367], [0.004417311200088368, 0.12330674772219602]]]",3331.332290421912
