time,Risky Asset Return,Multiplier,Cushion,Risky Allocation,Tether Allocation,Backup,CPPI,Strategy,HOLD,SPREAD
2019-04-29 00:00:00.000,-7.410604712432267e-05,1.1,2.5231884969384737,2.7755073466323212,749.7476811503061,2165.1837602057335,752.5231884969385,2917.706948702672,387.4579761473711,2530.248972555301
2019-04-30 00:00:00.000,-0.0168707076341569,1.9,2.5229828150602316,4.79366734861444,747.7293154664458,2165.1837602057335,752.5229828150602,2917.7067430207935,387.429263168332,2530.2774798524615
2019-05-01 00:00:00.000,0.0498384909706166,1.9,2.4421102547263445,4.640009483980054,747.8021007707463,2165.1837602057335,752.4421102547263,2917.6258704604597,380.89305734050225,2536.7328131199574
2019-05-02 00:00:00.000,-0.0165662312825312,1.1,2.6733613254972397,2.940697458046964,749.7326638674502,2165.1837602057335,752.6733613254972,2917.857121531231,399.87619253953744,2517.9809289916934
2019-05-03 00:00:00.000,-0.0032078209707497,1.9,2.6246450512752517,4.986825597422978,747.6378194538522,2165.1837602057335,752.6246450512753,2917.808405257009,393.2517510495495,2524.5566542074594
2019-05-04 00:00:00.000,0.0178762157440068,1.1,2.6086482075463664,2.8695130283010033,749.7391351792454,2165.1837602057335,752.6086482075464,2917.79240841328,391.99026983574873,2525.8021385775314
2019-05-05 00:00:00.000,-0.0098814113919167,1.9,2.6599442415205203,5.0538940588889885,747.6060501826315,2165.1837602057335,752.6599442415205,2917.843704447254,398.9975724688841,2518.84613197837
2019-05-06 00:00:00.000,-0.0085034553453677,1.1,2.6100046351934907,2.87100509871284,749.7389995364806,2165.1837602057335,752.6100046351935,2917.793764840927,395.05491331094294,2522.738851529984
2019-05-07 00:00:00.000,0.0019467547738794,1.9,2.5855911715402726,4.9126232259265175,747.6729679456138,2165.1837602057335,752.5855911715403,2917.769351377274,391.6955814966352,2526.073769880639
2019-05-08 00:00:00.000,-0.0108310596955316,1.1,2.5951548442576495,2.8546703286834147,749.7404845155743,2165.1837602057335,752.5951548442576,2917.778915049991,392.45811673982126,2525.3207983101697
2019-05-09 00:00:00.000,0.0062339563458082,1.9,2.5642357395166755,4.872047905081684,747.692187834435,2165.1837602057335,752.5642357395167,2917.7479959452503,388.20737944941635,2529.540616495834
2019-05-10 00:00:00.000,-0.0115541040712268,1.1,2.5946078734716593,2.8540686608188257,749.7405392126528,2165.1837602057335,752.5946078734717,2917.7783680792054,390.62744730602464,2527.1509207731806
2019-05-11 00:00:00.000,0.0110461437496796,1.9,2.5616316671381583,4.8671001675625005,747.6945314995756,2165.1837602057335,752.5616316671382,2917.7453918728716,386.1140971267732,2531.6312947460983
2019-05-12 00:00:00.000,0.0914852866323525,1.9,2.615394355233093,4.969249274942876,747.6461450802902,2165.1837602057335,752.6153943552331,2917.7991545609666,390.3791689474133,2527.4199856135533
2019-05-13 00:00:00.000,-0.0594995706542937,1.9,3.0700075494988823,5.833014344047876,747.236993205451,2165.1837602057335,753.0700075494989,2918.2537677552323,426.093119113867,2492.1606486413652
2019-05-14 00:00:00.000,0.0486464655979246,1.9,2.7229457004076494,5.1735968307745335,747.5493488696331,2165.1837602057335,752.7229457004076,2917.9067059061413,400.7407614678431,2517.165944438298
2019-05-15 00:00:00.000,0.2268914808762946,2.0,2.9746229006534577,5.949245801306915,747.0253770993465,2165.1837602057335,752.9746229006535,2918.158383106387,420.2353831342746,2497.9229999721124
2019-05-16 00:00:00.000,0.1190235438496116,2.0,4.324456090609033,8.648912181218066,745.675543909391,2165.1837602057335,754.324456090609,2919.5082162963427,515.5832115302272,2403.9250047661153
2019-05-17 00:00:00.000,-0.0897268887071199,2.0,5.353880268861644,10.707760537723289,744.6461197311384,2165.1837602057335,755.3538802688616,2920.5376404745953,576.9497525159188,2343.587887958676
2019-05-18 00:00:00.000,-0.0777753634876222,2.0,4.393106230790863,8.786212461581727,745.6068937692091,2165.1837602057335,754.3931062307909,2919.576866436524,525.1818462823226,2394.3950201542016
2019-05-19 00:00:00.000,-0.0380186882316609,2.0,3.709755362911892,7.419510725823784,746.2902446370881,2165.1837602057335,753.7097553629119,2918.8935155686454,484.33563729061444,2434.557878278031
2019-05-20 00:00:00.000,0.1084260332428275,2.0,3.4276752977953038,6.8553505955906076,746.5723247022047,2165.1837602057335,753.4276752977953,2918.611435503529,465.9218316969798,2452.689603806549
2019-05-21 00:00:00.000,-0.0464228383476387,2.0,4.170973769364082,8.341947538728164,745.8290262306359,2165.1837602057335,754.1709737693641,2919.3547339750976,516.4398877091156,2402.914846265982
2019-05-22 00:00:00.000,0.0003380568185485,1.1,3.783716887269179,4.162088575996098,749.6216283112731,2165.1837602057335,753.7837168872692,2918.967477093003,492.46528228572265,2426.50219480728
2019-05-23 00:00:00.000,-0.0587082775643071,1.9,3.7851239096917197,7.191735428414267,746.5933884812774,2165.1837602057335,753.7851239096917,2918.968884115425,492.6317635322977,2426.3371205831277
2019-05-24 00:00:00.000,0.0125742981247218,1.1,3.3629095099912547,3.6992004609903804,749.6637090490009,2165.1837602057335,753.3629095099913,2918.546669715725,463.7102012218495,2454.836468493875
2019-05-25 00:00:00.000,0.0075276589083939,1.9,3.4094243594108775,6.477906282880667,746.9315180765302,2165.1837602057335,753.4094243594109,2918.5931845651444,469.54103153548783,2449.0521530296564
2019-05-26 00:00:00.000,0.0093857414406276,1.1,3.4581878283489687,3.804006611183866,749.654181217165,2165.1837602057335,753.458187828349,2918.6419480340824,473.0755762643824,2445.5663717697
2019-05-27 00:00:00.000,0.0548219350673293,1.9,3.4938912508399653,6.638393376595934,746.8554978742441,2165.1837602057335,753.49389125084,2918.6776514565736,477.5157413050758,2441.161910151498
2019-05-28 00:00:00.000,0.067721768328355,1.9,3.857820821483074,7.32985956081784,746.5279612606653,2165.1837602057335,753.8578208214831,2919.0415810272166,503.6940782685303,2415.3475027586865
2019-05-29 00:00:00.000,0.0235248092625474,1.1,4.354211872540191,4.78963305979421,749.5645788127459,2165.1837602057335,754.3542118725402,2919.537972078274,537.805131945396,2381.7328401328778
2019-05-30 00:00:00.000,-0.0064099530084194,1.9,4.46688707670944,8.487085445747937,745.9798016309614,2165.1837602057335,754.4668870767094,2919.650647282443,550.4568950948305,2369.1937521876125
2019-05-31 00:00:00.000,-0.0486463048205217,1.9,4.412485257823732,8.38372198986509,746.0287632679587,2165.1837602057335,754.4124852578237,2919.5962454635574,546.9284922641123,2372.667753199445
2019-06-01 00:00:00.000,0.0378145053379487,1.9,4.004648162374224,7.608831508511025,746.3958166538632,2165.1837602057335,754.0046481623742,2919.188408368108,520.3224421144039,2398.865966253704
2019-06-02 00:00:00.000,-0.0227541382419884,1.1,4.292372362068363,4.7216095982752,749.5707627637931,2165.1837602057335,754.2923723620684,2919.476132567802,539.9981778791935,2379.4779546886084
2019-06-03 00:00:00.000,0.037473381273862,1.9,4.184936204544442,7.95137878863444,746.23355741591,2165.1837602057335,754.1849362045444,2919.368696410278,527.7109846893085,2391.6577117209695
2019-06-04 00:00:00.000,-0.0474668245356014,1.9,4.482901253543901,8.517512381733411,745.9653888718105,2165.1837602057335,754.4829012535439,2919.6666614592773,547.486099620976,2372.1805618383014
2019-06-05 00:00:00.000,-0.0612260021187505,1.9,4.078601987840443,7.749343776896842,746.3292582109436,2165.1837602057335,754.0786019878404,2919.262362193574,521.4986729945864,2397.763689198988
