time,Risky Asset Return,Multiplier,Cushion,Risky Allocation,Tether Allocation,Backup,CPPI,Strategy,HOLD,SPREAD
2021-01-25 00:00:00.000,0.0063856248178471,1.9,897.8764843817378,1647.8764843817378,0.0,937.3100669957553,1647.8764843817378,2585.186551377493,2476.1328061496524,109.05374522784041
2021-01-26 00:00:00.000,0.0031494084308985,1.9,908.3992053571524,1658.3992053571524,0.0,937.3100669957553,1658.3992053571524,2595.7092723529076,2491.944461248887,103.76481110402074
2021-01-27 00:00:00.000,0.0063669416161822,1.9,913.6221817962996,1663.6221817962996,0.0,937.3100669957553,1663.6221817962996,2600.932248792055,2499.792612144475,101.13963664758012
2021-01-28 00:00:00.000,-0.0678242981644157,1.1,924.2143670991825,1016.6358038091008,657.5785632900817,937.3100669957553,1674.2143670991825,2611.5244340949375,2515.7086457585624,95.81578833637514
2021-01-29 00:00:00.000,0.0844502871300836,1.1,855.2617572170136,940.787932938715,664.4738242782986,937.3100669957553,1605.2617572170136,2542.5718242127687,2345.0824724738354,197.48935173893324
2021-01-30 00:00:00.000,0.0303972246799606,1.1,934.7115682822059,1028.1827251104266,656.5288431717793,937.3100669957553,1684.711568282206,2622.021635277961,2543.125360617977,78.8962746599841
2021-01-31 00:00:00.000,0.0014250419894263,1.1,965.9654695894417,1062.5620165483858,653.4034530410559,937.3100669957553,1715.9654695894417,2653.275536585197,2620.429313593988,32.84622299120929
2021-02-01 00:00:00.000,-0.0337427311347156,1.9,967.4796650793928,1717.4796650793928,0.0,937.3100669957553,1717.4796650793928,2654.789732075148,2624.1635353961833,30.62619667896479
2021-02-02 00:00:00.000,0.0102663637086699,1.9,909.5272105112774,1659.5272105112774,0.0,937.3100669957553,1659.5272105112774,2596.837277507033,2535.617090767785,61.220186739247765
2021-02-03 00:00:00.000,0.0604026202034067,1.9,926.5645204388206,1676.5645204388206,0.0,937.3100669957553,1676.5645204388206,2613.874587434576,2561.6486580475266,52.22592938704929
2021-02-04 00:00:00.000,0.0550622035956163,1.9,1027.8334104133935,1777.8334104133935,0.0,937.3100669957553,1777.8334104133935,2715.1434774091485,2716.378949034138,-1.235471624989259
2021-02-05 00:00:00.000,-0.0182537259357609,1.9,1125.7248356166647,1875.7248356166647,0.0,937.3100669957553,1875.7248356166647,2813.03490261242,2865.9487597687016,-52.913857156281665
2021-02-06 00:00:00.000,0.0318459160055102,1.9,1091.485868536418,1841.485868536418,0.0,937.3100669957553,1841.485868536418,2778.795935532173,2813.63451656195,-34.83858102977683
2021-02-07 00:00:00.000,0.0329082862670748,1.9,1150.1296728311627,1900.1296728311627,0.0,937.3100669957553,1900.1296728311627,2837.439739826918,2903.2372850465863,-65.79754521966834
2021-02-08 00:00:00.000,-0.0114213732230972,1.9,1212.6596840492539,1962.6596840492539,0.0,937.3100669957553,1962.6596840492539,2899.969751045009,2998.7778487241444,-98.80809767913524
2021-02-09 00:00:00.000,0.1760263728285025,1.9,1190.2434152878013,1940.2434152878013,0.0,937.3100669957553,1940.2434152878013,2877.5534822835566,2964.5276877007095,-86.97420541715292
2021-02-10 00:00:00.000,0.0056416768703471,1.9,1250.0,2000.0,0.0,1219.0874930810542,2000.0,3219.087493081054,3486.362743716333,-267.275250635279
2021-02-11 00:00:00.000,-0.037652756003057,1.9,1250.0,2000.0,0.0,1230.3708468217483,2000.0,3230.3708468217483,3506.0316757691976,-275.6608289474493
2021-02-12 00:00:00.000,0.0640650551762931,1.9,1174.694487993886,1924.694487993886,0.0,1230.3708468217483,1924.694487993886,3155.0653348156343,3374.019920542471,-218.95458572683674
2021-02-13 00:00:00.000,-0.0084380396924963,1.9,1250.0,2000.0,0.0,1278.3709933864698,2000.0,3278.3709933864698,3590.1766929179366,-311.80569953146687
2021-02-14 00:00:00.000,-0.0100237556318596,1.9,1233.1239206150074,1983.1239206150074,0.0,1278.3709933864698,1983.1239206150074,3261.494914001477,3559.88263948002,-298.38772547854296
2021-02-15 00:00:00.000,0.0348878286213096,1.9,1213.2455710470672,1963.2455710470672,0.0,1278.3709933864698,1963.2455710470672,3241.616564433537,3524.199245823773,-282.58268139023585
2021-02-16 00:00:00.000,-0.0147016271369917,1.9,1250.0,2000.0,0.0,1310.1099394577723,2000.0,3310.1099394577723,3647.1509051394214,-337.04096568164914
2021-02-17 00:00:00.000,0.0275845457566195,1.9,1220.5967457260165,1970.5967457260165,0.0,1310.1099394577723,1970.5967457260165,3280.706685183789,3593.5318524197196,-312.8251672359306
2021-02-18 00:00:00.000,0.057334499454253,1.9,1250.0,2000.0,0.0,1335.0647012841137,2000.0,3335.0647012841137,3692.657796230661,-357.59309494654735
2021-02-19 00:00:00.000,-0.0079056271356279,1.9,1250.0,2000.0,0.0,1449.7337001926198,2000.0,3449.73370019262,3904.3744826333914,-454.64078244077155
2021-02-20 00:00:00.000,0.0799456829052225,1.9,1234.1887457287442,1984.1887457287442,0.0,1449.7337001926198,1984.1887457287442,3433.9224459213638,3873.5079537758315,-439.5855078544678
2021-02-21 00:00:00.000,0.0060294914723648,1.9,1250.0,2000.0,0.0,1592.5497702115053,2000.0,3592.5497702115053,4183.178192379251,-590.6284221677461
2021-02-22 00:00:00.000,0.0226525203756704,1.9,1250.0,2000.0,0.0,1604.608753156235,2000.0,3604.6087531562353,4208.400629617585,-603.7918764613496
2021-02-23 00:00:00.000,-0.058161332495553,1.1,1250.0,1379.530504075134,620.4694959248659,1649.9137939075758,2000.0,3649.913793907576,4303.731510628982,-653.8177167214058
2021-02-24 00:00:00.000,-0.1110511125120723,1.1,1169.7646676647282,1286.741134431201,633.0235332335271,1649.9137939075758,1919.7646676647282,3569.678461572304,4053.420751267701,-483.7422896953967
2021-02-25 00:00:00.000,0.0234934475355341,1.1,1026.8706331710973,1129.557696488207,647.3129366828903,1649.9137939075758,1776.8706331710973,3426.784427078673,3603.2838673599026,-176.49944028122945
2021-02-26 00:00:00.000,-0.0590144979344522,1.1,1053.407837651902,1158.7486214170922,644.6592162348097,1649.9137939075758,1803.407837651902,3453.3216315594777,3687.937427853359,-234.61579629388143
